"name","place_id"
"Soon Huat Dining House 順發美食之家","ChIJOTBBsnQZ2jERc-ta2yl9pgQ"
"Barworks Wine & Spirits Pte Ltd","ChIJoQYj9yUX2jERzmHGTzQ6-no"
"Char Grill Bar","ChIJkZLHgcQZ2jERagSlO-df52Y"
"Three Cups Coffee Co.","ChIJ2-_9UgkZ2jER8IPe4hFAi2A"
"First Class Taste Sims Ave (Salt Baked Kampong Chicken)","ChIJ48KdJD0Y2jER2NliHYrCor4"
"McDonald's","ChIJL1D8fHAF2jERPtPqkdqPRGs"
"McDonald’s West Coast Park","ChIJS5IVbvwa2jERDxPwmWkRghI"
"GoFit Salad","ChIJpeuIf2sZ2jER_8uVa88BlCg"
"60's Old Street","ChIJL8CPApcZ2jERS34vBEUp9GQ"
"Starbucks","ChIJWdJVrKgZ2jERnXrivb81vJo"
"Bitters & Love","ChIJ-6zr_AoZ2jERoSRdI6lsE0s"
"Gao Peng Cuisine","ChIJ6RpY-K892jERUDLSO-EW_Lo"
"The Plain Jane","ChIJPxiT0KgX2jERprrrCEzVXbQ"
"WhatheFish!","ChIJp8Ndj2wZ2jERU4umF1bA9JA"
"Din Tai Fung","ChIJlcF4Rw4Z2jERk1YWiRHw5jY"
"Sheng Siong","ChIJ1VWOUQ492jERT6ShQTPTOZc"
"Numazu Uogashizushi Singapore","ChIJJdPcx2wZ2jER6MXlV18k6oI"
"CJS Catering Pte Ltd","ChIJoQpfIlsT2jERDkbGEF2F98M"
"Blue Heaven Bar","ChIJ7XGG-5kU2jER7PaJMVvXMY4"
"Teck Neo Peranakan Restaurant","ChIJg0WZM2AZ2jERIHNIDTIBQeo"
"Chomp Chomp Food Centre","ChIJu0Kj3f8W2jERpHVeB5eORMM"
"Lutong Pinoy Restaurant","ChIJubNeDZIZ2jERP_JvRilhzNA"
"忠記雲吞麵 wanton noodles","ChIJg96nNtIZ2jERtSCm2Im3QN0"
"The Standish","ChIJk5c9QxQa2jERSGrj0DnYZjo"
"Food Village 115","ChIJ-5yAbEYV2jERb4bgiFcMhqw"
"Tang Tea House","ChIJq-NLANkP2jER4zGZCfpgZrI"
"Prosperity Seafood White Bee Hoon","ChIJTxLbxIkQ2jER2vkxmReyxak"
"BreadTalk","ChIJAQBALo4a2jERfcO26l8qKAc"
"Commune Café","ChIJrW2TM0Ia2jER6zKGvliA3Fc"
"Aayisha Briyani House","ChIJWc51ugsZ2jERqmZPjczMtEc"
"La Pizzaiola","ChIJDbCht8kW2jER5frVa0OVx78"
"Saigon Rolls","ChIJw9kMyg8Z2jERqfQL7JIEp7E"
"Jackson Cooked Food","ChIJB8BFdLQZ2jERhUl5YWKXAdI"
"Kou Fu Fish Ball Noodle","ChIJ6S443pYW2jERxv-MIZdcJcM"
"Tonic","ChIJWQVa9qUZ2jER0F1nv-tzUDE"
"The Cup Singapore","ChIJj8SOkrwZ2jERUb9-ZvrldHI"
"Chateraise","ChIJD266r6YX2jERaYnfINWUSeY"
"Kim Kee Wanton Mee","ChIJK6PHF0QY2jERXMiPjxq7Tpw"
"LiHO TEA @ Sentosa Beach Station","ChIJC4_DfwAc2jERNzydcakPbQI"
"Ramen Nagi Singapore","ChIJPyA5Aq8Z2jERDGuZhGxld0M"
"Na Na Homemade Curry Jurong East","ChIJmVCnyRgQ2jERWhojEMyNiEY"
"Hong Kong Sheng Kee Dessert","ChIJoTVcktk82jER_-ZoFlD70vk"
"Jess Pub","ChIJb71GQHMZ2jER2Ojrp3s0bT0"
"See Sean Rice Stall","ChIJpbdDzQoZ2jERcXNNAVb55y0"
"Wine Connection Bistro Cuppage Terrace","ChIJJxdhxpYZ2jERJZZMHtWBPm4"
"The Naked Finn","ChIJn21oVcEb2jERX59EsA15tws"
"Tiong Bahru Bakery","ChIJ18y5h40Z2jERgWinDNZA0Oc"
"Mustafa Cafe","ChIJwSVemeEb2jERnPQc_K1GHlM"
"Ming Ji Cantonese Style Wanton Noodle","ChIJzzCOYXUY2jERA-qx7v99GFU"
"Starbucks","ChIJKxMdveQV2jER3-AUW4hl3s8"
"Sarpino's Pizza","ChIJu_dS3z0X2jERlNYlVQ98ikU"
"Famous Fried Kway Teow/Fried Oyster/ Carrot Cake","ChIJlzryjLQX2jERqqfLSWw_9Ak"
"Bobby's Delicacy Pasta & Grill","ChIJ68TQkKkT2jER2LjYV6jJEdk"
"The Cocoa Trees - Changi Airport Terminal 3","ChIJ_-4P-ow82jERhOjE_eISYsc"
"Uncle Davids","ChIJEa6tY_8X2jERJTzTeN_uLR4"
"Yi Dian Xin Hong Kong Dim Sum","ChIJ5Tbw37QX2jERBtbHI0b0dZg"
"Shideji 食得記药膳羊骨煲羊肉汤","ChIJBZZ3N2sY2jERORnJSW38gkY"
"Johore Ye Zhi Mei Handmade Bao","ChIJpcjwE8gZ2jERB3mNTnp1y1w"
"Euro Link Wines & Spirits","ChIJG3jOo2gX2jER624mcDSPYhg"
"Fusion Spoon at Botanic Gardens","ChIJJT_o1SEa2jERz6Slj6nNDvc"
