cid,place_id
4126670515611262005,ChIJ6Rufe2UU2jERNVwWTPjgRDk
4830947528731631227,ChIJy56weRcY2jERe56Zki75CkM
13545335831744712211,ChIJf_z8tDAY2jERE46DNiyz-rs
8209456983412664073,ChIJIw9IRN8Z2jERCWcpf6HZ7XE
13486624297949478178,ChIJgfz1qaQR2jERIj1uAlgdKrs
353493293090160656,ChIJlyvDiU8a2jEREEAf9Ubc5wQ
15452609230915858067,ChIJc3Wuq6QZ2jERk26pXTmyctY
17583084291251146297,ChIJMQ7kvloY2jEROY7G8wCqA_Q
5790387892075284489,ChIJ2zYtd24X2jERCcje6huXW1A
6957137730453062050,ChIJDfzSBhoY2jERokEfxee3jGA
4542152135990970408,ChIJ6zCCgW8U2jERKAiGZU33CD8
1322214280093699200,ChIJ_1P8HMEb2jERgAzv4eFyWRI
4311193927023045159,ChIJazXUlMUZ2jERJ6oH8ghw1Ds
1208246949751829230,ChIJseMLcb8R2jER7jLoADOOxBA
3909468581952573536,ChIJY2WIRXEU2jERYFDVR_Y4QTY
992940856343428718,ChIJgR9JwhEY2jERbn5SsXKixw0
18068749269612770165,ChIJ3yfbYk4Y2jERdTPedroXwfo
15550795436535906483,ChIJV1VV0gwZ2jERswB90Q6Gz9c
572673592622543726,ChIJwYx9mx8Q2jERbnODLJmL8gc
18316788259619414329,ChIJycsiih8Y2jEROSGpKOBNMv4
8647364792666970913,ChIJUztqtNcS2jERIVsilnacAXg
11955657187078152339,ChIJoxzMqNIZ2jERk6AjLN4G66U
1040456423376011712,ChIJQfJRFhs92jERwMGZv5pxcA4
9503563738883069485,ChIJNW68tAwY2jERLZZoVN5w44M
16171157862737761533,ChIJP-zKXHAU2jER_dQ_z2V-a-A
15015687114625367721,ChIJSyFrOusF2jERqb6nzd9vYtA
1430062339913473359,ChIJX8Sx4LQX2jERT900ER-a2BM
8103040914422684763,ChIJpa8rQQsZ2jERW9yeqMfIc3A
5897946545732096337,ChIJ2V-RfiQX2jERUZGaeiK32VE
9131013933782055162,ChIJgZ4SkPwa2jER-rg4asvgt34
12946870290048214901,ChIJ38KrAmIW2jERdedh7-6FrLM
8364639105967035544,ChIJUy7z81ka2jERmJSB-fIqFXQ
1564012931144432500,ChIJVVXBDxQX2jERdDv7cHl9tBU
18220184747735410762,ChIJ6d4K0glz2jERSmjCTn4Z2_w
4396592906068289072,ChIJH3P4rqYX2jERMOYzNPTVAz0
18131072132149390092,ChIJ6RrqoqgT2jERDKu_qQqCnvs
5215240519256326916,ChIJD2EBLCQX2jERBEN_6J5BYEg
15971857514136020768,ChIJFTGOVk0S2jERICc7Xclvp90
6298309119741015882,ChIJiSRA0X4Z2jERSjfER8YWaFc
2288510315974475470,ChIJd7L66kIa2jERzr554AFswh8
12366749606443825022,ChIJwV19f3UX2jERfjdJxj6Fn6s
2453231839491812953,ChIJ-RepEJoZ2jERWW6WOFyhCyI
1705063683590652889,ChIJRf70dJEZ2jER2QPX62KaqRc
6436523911107159613,ChIJNdzSTyI92jERPabZHWUgU1k
1602773182392736791,ChIJIbYcWp4Z2jERF5wKsLcxPhY
11133731532053858960,ChIJDyOtkBc82jERkMqi4Nb1gpo
1391748818372713745,ChIJJcfJww8Q2jEREd2sLy18UBM
13906992775674844367,ChIJo_z7IqkZ2jERz9QFQD-Q_8A
17666024169398000670,ChIJx_I5aAgQ2jERHtxuKmJTKvU
10619611122603284585,ChIJXVq1TyI92jERaViOBw1wYJM
15839136305987126392,ChIJM21RoAwZ2jEReARbC43qz9s
11690931785319394882,ChIJySqIDLsZ2jERQi5JfYSIPqI
4225500396126030734,ChIJcTppXecZ2jERjktd_Tj-ozo
3806362853472768915,ChIJZavTTncZ2jERk5N8J9nq0jQ
9595486166179551314,ChIJx2uOwroZ2jERUphOPtQDKoU
18115196349192362031,ChIJ8edyQxgY2jERL1gQ5hkbZvs
7173115013056159103,ChIJ3ZgXVvQX2jERf907fhkGjGM
16495591256189571036,ChIJTRMCEwoZ2jER3A84odkc7OQ
18002283134764242620,ChIJCwekvNEW2jERvNaggSH11Pk
1094957852169094410,ChIJQ6WJ_K8Z2jERCkWQfl0SMg8
8801068681112189510,ChIJtV7uipEZ2jERRvqB3VWtI3o
13403186304821608593,ChIJTX8Iit4P2jERkcBFXe6uAbo
13601180407244106182,ChIJDQn9K6EZ2jERxqnJq4QZwbw
11871397867540221114,ChIJQSixfvoV2jERuowQknatv6Q
17640598816260728164,ChIJu3v5AkQEBBARZKVl1Cj_z_Q
14737699305769617408,ChIJ25aTGvIX2jERAEjrVm_Thsw
1816712824626034776,ChIJxyAVvKYX2jERWDi7SrBCNhk
15409164723639802734,ChIJg1yrXKgZ2jERbtsHxqxZ2NU
17638938602541591215,ChIJpSvrugwZ2jERr6pqMzQZyvQ
13153809856681755334,ChIJwz3yHMEb2jERxkKMbl-4i7Y
7883017375340597326,ChIJm8ZquEw92jERTpBob4kaZm0
3290572154776189710,ChIJC0css7gZ2jERDvs5yfB1qi0
12024455406286408856,ChIJfQZezKAR2jERmAw61Xty36Y
2685444442767354324,ChIJaWs9G-EW2jER1OkxG36dRCU
13157702532569293632,ChIJ7Wbbv7MZ2jERQOMMqr2MmbY
7801190893729229121,ChIJdaypH6UZ2jERQSm-DcllQ2w
17171364719644530919,ChIJ851yvrEZ2jER51gWFzzxTO4
17095373288449398386,ChIJVYlkhXYa2jERcla6QG73Pu0
6005863084055188861,ChIJbfb5rQ4Z2jERfdW9jqccWVM
11214300852735730813,ChIJt-oWJ5cZ2jERfWSsqzUzoZs
16939848154561961048,ChIJ-d6RjKMZ2jERWNy4OSVuFus
8399786878721466315,ChIJZaEaNdg82jERyx8uh6kJknQ
2597631746556896755,ChIJFUNl-6892jER8yXNhk-kDCQ
3508681099451062856,ChIJGc8TpWsa2jERSFrowt5WsTA
16366803878654980315,ChIJaevVlVUF2jER2zC3n2mRIuM
16932527542368568746,ChIJA2UPtIwZ2jERqoVlYBZs_Oo
10136911541670669379,ChIJCw6Fn1kW2jERQ2zW6FaLrYw
1553414030955425367,ChIJq6qqo3EY2jERV640sNTVjhU
14084478027343985938,ChIJaRDeEKUa2jEREv2hoiQedsM
13734335153374314468,ChIJ0x_lT2YX2jER5D8J6w0pmr4
16159006022919611772,ChIJP6gQvNc82jERfGWFH11SQOA
7151090345698736933,ChIJ8RANNaEZ2jERJTsZBMjGPWM
11715186649542906684,ChIJGyKGd2s92jERPFNnIzC0lKI
17418233341335501126,ChIJl-V2x58i2jERRvkqLfD-ufE
6247885943114475298,ChIJfbrqIKkZ2jERIqd-nCnztFY
4309841627930963266,ChIJfS2n43IZ2jERQi0ERyCizzs
14622207531348850047,ChIJIbYcWp4Z2jERf_UWKkeE7Mo
13090405030895586964,ChIJ6Xgs4BIZ2jERlI6ECAV2qrU
12686948728251937480,ChIJS9l9TW0Z2jERyPIMZ6YYEbA
3808859730415958177,ChIJsaG12D4Q2jERobi7nr7J2zQ
4870178781552222659,ChIJ-7osLNMV2jERw6EQa8xZlkM
9192857364363112985,ChIJRZONr5IZ2jERGXKyKRGXk38
11919944812796257311,ChIJw4T0M28Y2jERHyT7FKcmbKU
11312759746108273081,ChIJXahQlZsQ2jERuTEfMA3__pw
10524065113014450810,ChIJo13c22QW2jERerpOHnb9DJI
14316153732333382316,ChIJb4EQuyVt2jERrCqdJfgxrcY
11209185928890628440,ChIJZeffQ4oZ2jERWDnVqDYHj5s
4335367845379917145,ChIJL_5zFxcY2jERWUWF6hVSKjw
12954547157465810937,ChIJnQNsGzMY2jER-cfL6gDMx7M
533926302848656796,ChIJn4yxOb0Z2jERnCWIwSTjaAc
4574923052245984115,ChIJb-ErmBYX2jERcyPe60ZkfT8
1534594199574273843,ChIJk9m11tk82jERM9__O0v5SxU
789201730034738337,ChIJxyAVvKYX2jERoSTYxsrO8wo
3639253092367643627,ChIJ3dOBJYYX2jER67NQ6mc5gTI
8942047049275584995,ChIJ3VmA_4wZ2jER47HmEGqIGHw
9758746488222299559,ChIJOXeUfkEQ2jERp7WUGzoIboc
9533969704268434177,ChIJmY4rCw4Q2jERAYtB0u52T4Q
5965987143227050791,ChIJNUk157QX2jERJ4uYlrJxy1I
1572935100103449898,ChIJK0idYlIQ2jERKt1oyCMw1BU
11405835201476603439,ChIJDYqpecYZ2jERL66oXq-qSZ4
1602007989236230740,ChIJddKNzn4W2jERVGrDRcd5OxY
14542700261558980414,ChIJyQEAwJYQ2jERPg80XdYM0sk
18263730919854038125,ChIJIxP8XfoX2jERbdw3l4HOdf0
2318492032572466612,ChIJTY61vWsa2jERtCUOQDjwLCA
2868158688500074114,ChIJowlNbqQZ2jERgkZ_iyG_zSc
3328440671390635183,ChIJAQDAaw4Z2jERr5Qz4if_MC4
5682667778299638080,ChIJqRHFaXMZ2jERQLEbfjzk3E4
5545660634576130603,ChIJKyJjsE8Q2jERKxLHCPck9kw
1757124260010553067,ChIJG3jOo2gX2jER624mcDSPYhg
180558503918455187,ChIJQ2O4_J0Z2jERk0k8rwB5gQI
12757473630793836735,ChIJYXyfrD0Y2jERvyjh2qymC7E
11507182147682599172,ChIJL2ht1qEZ2jERBIFWFjK5sZ8
14722480516060677841,ChIJDewZ-jE92jER0QZovAbCUMw
8649719656803602245,ChIJyaLMsHEY2jERRQ9-HjP6CXg
7799129291035314777,ChIJWZqClhE92jERWQqBxcQSPGw
16444154968919823403,ChIJgymJmLoZ2jERK9TwwdFfNeQ
3687275646082025829,ChIJU4x_AaMS2jERZQmrAarVKzM
2558510259518844388,ChIJFY9i1HQZ2jER5C3QhIangSM
2297060122247726635,ChIJn909kKgZ2jERK4ZKxgLM4B8
8290742940799674003,ChIJ43leAKQZ2jERkyZxRseiDnM
8750295295799162948,ChIJScRATf4b2jERRHjh4TVLb3k
8001027845068918587,ChIJjQkGoYEZ2jERO49XD29cCW8
11406584641240206421,ChIJx6-CQgwZ2jERVYyM6UtUTJ4
13249301406451952821,ChIJ3WmSLP8a2jERteymbW753rc
3963483406726767843,ChIJ6_9d9qAT2jER46QasygfATc
7394495893915355094,ChIJZTd5SskZ2jER1sfoedaGnmY
16274424405626683734,ChIJsfizTCMa2jERVoFTdcVe2uE
11891184108694307079,ChIJK0-P3E0a2jERB4F-1fH4BaU
13585571957589516012,ChIJNYExt9Yi2jER7J6hSrelibw
15354278699141559810,ChIJqVqJA6YT2jERAvatXCBbFdU
13691580600212445367,ChIJE6d2GAAX2jERt9hKyQNEAr4
7291372615436259764,ChIJM-JE-LMX2jERtNEWLMMoMGU
14531574895614866668,ChIJwXb9r5IZ2jER7LQbQGCGqsk
2792819995613939551,ChIJ04oiK_kZ2jERX0ctMP0WwiY
12889872621212124949,ChIJ6fc465YZ2jERFcdhA9sG4rI
1350326996626329384,ChIJVdnsLA0Z2jERKE-IxD9TvRI
679072432702901782,ChIJ72uEKFEQ2jERFk4EmMeMbAk
9441971146667578637,ChIJDyS7oFgZ2jERDdWbcLueCIM
12101500040766610367,ChIJI9ASUYoZ2jERv9tEqysq8ac
18028178149601808571,ChIJaQkeQQ4Z2jERu5B5eoL0MPo
5727281505165440615,ChIJpQvLsoEU2jERZ_YMPC9ke08
14781791728225309386,ChIJcVzzAisj2jERylKtcEJ5I80
12936108174745105876,ChIJjy31u14Q2jER1HW1s9hJhrM
4282254418373184534,ChIJZXddyccZ2jERFgz7hLSfbTs
3434682142447349702,ChIJH5IKscEZ2jERxq_z-DVxqi8
13904527586249683283,ChIJRSnRgKAZ2jERUzEInCvO9sA
1170924472708426819,ChIJb1LlsMwb2jERQ-yYppr1PxA
801150728595685684,ChIJ642LmRIZ2jERNMF9zVdCHgs
5997589184862967761,ChIJn4Qa-AsZ2jER0Vd7SJa3O1M
10771094496994238312,ChIJBUazJA4Z2jERaJ-Bl2CdepU
7305651153793468858,ChIJTQCfw3UZ2jERuknIcgTjYmU
7381713029769203790,ChIJn4HUzaQZ2jERThBE_eMccWY
14262774412880487883,ChIJ8SNbDLsZ2jERy6VF18KN78U
5495179223265850477,ChIJ61WJnQ4Z2jERbTTei2PMQkw
10289352997902474518,ChIJo6dvJ5wZ2jERFt2TSAkgy44
10897057619210998429,ChIJfa9B1JYZ2jERnRIJaisgOpc
5230109216473454239,ChIJc2KYngET2jERn5ZlQJ8UlUg
8933071574881437541,ChIJ7eVXlqgT2jERZYfylUSl-Hs
13853545129060661925,ChIJmeanUnoZ2jERpfqASeWtQcA
7516386024797849856,ChIJEeDfWo4X2jERAEnJGkSRT2g
12693351842758975468,ChIJ6bRmkngZ2jER7N-yrD_YJ7A
12152853386506007922,ChIJ6ZUT7SMS2jERcvUXNsSbp6g
7553466919909042490,ChIJe21nqWwW2jEROqnXxyRO02g
7673097377828716541,ChIJy0BBiqMi2jER_T92TGlRfGo
4298268511388996305,ChIJTcuhafQP2jER0ZKWGnCEpjs
17061215025862503612,ChIJ147lDZEZ2jERvGwX_aucxew
6729331395991979678,ChIJq6qqqucZ2jERnkb8SUBjY10
5279262421348914701,ChIJFQYC8YwZ2jERDRaSlDO1Q0k
12214409634106421068,ChIJF1ZogqgZ2jERTK8F9thMgqk
8141706329286533876,ChIJ46z76zo92jER9GKsFsUm_XA
7743010979189024118,ChIJA1X2jw0W2jERduWCGnazdGs
481006420702673530,ChIJaRhpHh4Y2jERejqqiMrgrAY
17038281236307339877,ChIJAXBY2D0U2jERZWpNAYMidOw
14454766259713051306,ChIJxZ2RNaUZ2jERqop_HVSlmcg
3921187089295810132,ChIJZ-tTn6gT2jERVB5T4-HaajY
11536332813834542436,ChIJwXQzMosX2jERZF1Kc5JJGaA
11205773755398601764,ChIJuxefeAoZ2jERJLztG9zngps
8193241800323629486,ChIJVQUlC20Q2jERrgEs-wE-tHE
2080466292768363133,ChIJT9hazuwP2jERfdKhCxJN3xw
17869989325244919555,ChIJreENXlAT2jERA-8-r5z0_vc
7415857181777590575,ChIJQ5RN3xE92jERL_nh4NBq6mY
1745310910813215439,ChIJH8bcx5hs2jERz5qivQaXOBg
6346311956600193593,ChIJkXRszaAR2jEROQL4rhmhElg
5217747705307318638,ChIJ28zeEgoZ2jERbslzpuQpaUg
2071104544435825904,ChIJWy4FfLsZ2jER8GzLJ5wKvhw
3842642301405628524,ChIJow5PgTcW2jERbAgsXtDOUzU
8509004576718551873,ChIJ89lf6hE92jERQXt7c5QOFnY
16080132980458493764,ChIJB4DN1L4R2jERRJdF4b8bKN8
14473898113376327832,ChIJNVEOJBMZ2jERmBj-6qWd3cg
8915654779086695342,ChIJ642LmRIZ2jERrut5z8jEuns
10465533818763536784,ChIJh254n3IZ2jERkOk8NI8LPZE
7192895213397434601,ChIJFztlTj8Y2jER6WApRRZM0mM
6221810583467703387,ChIJQ37YS3MZ2jERW7xb18JPWFY
14200820339332629800,ChIJnVEyTw0Z2jERKEUQBdxyE8U
9151341608090432788,ChIJMx2ipmsa2jERFHV76LQYAH8
7179344783723142429,ChIJz8mTZTBt2jERHR3fAQsoomM
18218116355368803584,ChIJscDYkm0Z2jERAN19Lk3A0_w
15005858832672593142,ChIJ5SAdRx0X2jER9pQblxqFP9A
10156662687310684993,ChIJawFsjw0W2jERQSOe3Oa284w
14786810386328696677,ChIJwbcwh6YZ2jERZbct1rNNNc0
8655157055130796950,ChIJXZU1hUca2jERloNJEnxLHXg
2094374365425487316,ChIJAzojA9kZ2jER1M3ejWO2EB0
14544810672241582676,ChIJWeKX-6892jERVCJFpD6M2ck
12553552177923906374,ChIJ2XcdGPEP2jERRlt8ujEtN64
11899084389143080422,ChIJjWvFBZEZ2jER5u1ENzUKIqU
13617928351459690817,ChIJt73fRLEZ2jERQcl5Ta-Z_Lw
14627652443936068883,ChIJfbpQ-a4Z2jERExWvqmXc_8o
13457893941065841279,ChIJiae5plUZ2jERf3ochjwLxLo
3868686852931794312,ChIJ18C-mwoZ2jERiDU5EDJWsDU
11725714152503782926,ChIJF5G_lwYa2jERDi7CbeUauqI
602392808658912,ChIJ5_uZAsoZ2jER4Bdggd8jAgA
14643599771141522686,ChIJ7Z0c6IwZ2jER_sThH2iEOMs
12911119541016903206,ChIJNTiqxCQX2jERJr7qBtGCLbM
9189459121110681741,ChIJtVXywm8Z2jERjYjG_2GEh38
11946179317094529486,ChIJ004Sv0w92jERzrmJmstayaU
17197992725390858045,ChIJpTh8I-wZ2jERPZeszkOLq-4
10579012634028940096,ChIJNy96rFs92jERQBuqzfAz0JI
15918555539256713993,ChIJ03b2TK8Z2jERCSO5PuwR6tw
10903000690798217943,ChIJz1-_saYX2jER18rdmFw9T5c
10064285763685233968,ChIJ2wmD99Ub2jERMLV6RpSGq4s
8567993759442698861,ChIJMf8FCAwZ2jERbYJY1e2g53Y
8455196146514708029,ChIJUx-9M5EZ2jERPcZCAxnkVnU
3287294485940256751,ChIJA3ojzY8a2jER77-RCuvQni0
16981079124323709187,ChIJuT9nn8IZ2jERA7EddH7pqOs
796742908450539801,ChIJxQYdKm8Q2jERGYmBM3SZDgs
8952592207989580872,ChIJFwkLXLkb2jERSCQmKC7_PXw
17723936604839606298,ChIJcfqTm-0N2jERGvgByW8S-PU
16245492967751741815,ChIJI60xu7gZ2jERd_HyJ8iVc-E
5584825003961012278,ChIJfYgUCqUZ2jERNtDQXcBIgU0
7864904839981069784,ChIJWSiVVAwZ2jER2HVSK0jBJW0
12112600807983587350,ChIJ6RrqoqgT2jERFqD4cUKaGKg
2035393548654956622,ChIJWw-Whkca2jERTlCzBaYrPxw
516336076730319003,ChIJx9jHrD0Y2jERm8A6Fu1kKgc
5975558011220281592,ChIJB5s932gX2jER-EiG8Vly7VI
9297441062837208389,ChIJUZ8cpagZ2jERRcWK_mIlB4E
7905993332635528155,ChIJa9BZ2TAY2jER2-tYXAy7t20
9801845979781282946,ChIJmRnrx-wP2jERgjz0d_wmB4g
11259857879800010720,ChIJb7LzXNgb2jER4NfcmhUNQ5w
14815651754798270105,ChIJ3bvEmowZ2jERmcakOMbEm80
2773364476430404462,ChIJAwPkO5cQ2jERbktSIkz4fCY
13551218010565949009,ChIJBwtmFfIX2jERUbaosfuYD7w
5967838649904802523,ChIJQ7jMb8sb2jER2ypsFKIF0lI
15365203835220315225,ChIJ642LmRIZ2jERWczG03orPNU
1193435369646286154,ChIJOatTb4gZ2jERSmUnRiXvjxA
2437647666175463426,ChIJe3kMD5EZ2jERAtDyHaND1CE
13667898579822231731,ChIJ2WUXmnEY2jERs8BevFchrr0
7705360670118280376,ChIJKcXsxt4W2jERuHyqaLTw7mo
17150424537227735223,ChIJnUphOUs92jERtzCa8D-MAu4
1335727356505341434,ChIJx4wPggYZ2jER-r1FKfR0iRI
9720464875945474081,ChIJz5sCYUw92jERIThkrk0H5oY
14436040977247318,ChIJMW3cfr0Z2jERVmxptoBJMwA
9070071433083544579,ChIJy64vxOwP2jERA-RcwOld330
345567119894611049,ChIJ-SowS9Yb2jERaYRf83azywQ
12321839758704288293,ChIJpxzo-QsG2jERJaLaBPr3_6o
10912659899648420343,ChIJCxTorhMY2jER96kxaVyOcZc
